days,VE,LCL,UCL,vaccine,outcome_category
22,85.8,82.7,88.3,First booster,infection
60,76.3,73.9,78.6,First booster,infection
120.5,67.3,62,71.9,First booster,infection
150,54.9,35.6,68.4,First booster,infection
22,64.3,50.7,74.2,Second booster,infection
60,51.1,35.5,63,Second booster,infection
90,17.3,-45.3,62.6,Second booster,infection
60,89,88,90,First booster,severe
90,86,85,87,First booster,severe
150,66,63,68,First booster,severe
210,41,35,47,First booster,severe
240,31,17,43,First booster,severe